precision,recall,f1-score,support,category
0.8572956455309396,0.9329896907216495,0.8935424794967751,6014,related
0.8158192090395481,0.5408239700374532,0.6504504504504505,1335,request
0.0,0.0,0.0,38,offer
0.7700212615166548,0.6614916286149163,0.711642377599476,3285,aid_related
0.6954314720812182,0.21642969984202212,0.3301204819277109,633,medical_help
0.7310924369747899,0.232,0.35222672064777333,375,medical_products
0.8571428571428571,0.11707317073170732,0.20600858369098712,205,search_and_rescue
0.5,0.007042253521126761,0.01388888888888889,142,security
0.6588235294117647,0.20216606498194944,0.30939226519337015,277,military
0.7940298507462686,0.5145067698259188,0.624413145539906,517,water
0.8445440956651719,0.6398640996602492,0.7280927835051547,883,food
0.8193384223918575,0.47352941176470587,0.6001863932898416,680,shelter
0.7142857142857143,0.21367521367521367,0.3289473684210526,117,clothing
0.7419354838709677,0.125,0.21395348837209302,184,money
1.0,0.0449438202247191,0.08602150537634408,89,missing_people
0.8055555555555556,0.11507936507936507,0.20138888888888887,252,refugees
0.8029197080291971,0.3343465045592705,0.47210300429184554,329,death
0.5693430656934306,0.15324165029469547,0.2414860681114551,1018,other_aid
0.5102040816326531,0.0499001996007984,0.09090909090909091,501,infrastructure_related
0.7391304347826086,0.14366197183098592,0.24056603773584906,355,transport
0.7222222222222222,0.24266666666666667,0.36327345309381237,375,buildings
0.7297297297297297,0.17532467532467533,0.2827225130890052,154,electricity
0.0,0.0,0.0,38,tools
0.75,0.0410958904109589,0.07792207792207792,73,hospitals
0.0,0.0,0.0,33,shops
0.0,0.0,0.0,89,aid_centers
0.5,0.022408963585434174,0.04289544235924933,357,other_infrastructure
0.8495981630309989,0.6832871652816251,0.7574206755373593,2166,weather_related
0.8674698795180723,0.4578696343402226,0.5993756503642039,629,floods
0.7516198704103672,0.5095168374816984,0.6073298429319373,683,storm
1.0,0.10843373493975904,0.1956521739130435,83,fire
0.9155405405405406,0.7178807947019867,0.8047512991833705,755,earthquake
0.65,0.16049382716049382,0.25742574257425743,162,cold
0.6351351351351351,0.11163895486935867,0.1898989898989899,421,other_weather
0.7125683060109289,0.4323607427055703,0.5381758151052414,1508,direct_report
